หมวด / องค์ประกอบ,ข้อที่ต้องปรับปรุง,ประเภทโรงพยาบาลที่ใช้เกณฑ์นี้
องค์ประกอบที่ 1 นโยบายและการบริหารจัดการ,1.1 มีนโยบายด้านอาชีวอนามัยและความปลอดภัย,รพ.ศูนย์/รพ.ทั่วไป/รพ.ชุมชน/รพ.สต.
,1.2 มีผู้รับผิดชอบงานอาชีวอนามัยที่ผ่านการอบรม,รพ.ศูนย์/รพ.ทั่วไป/รพ.ชุมชน
องค์ประกอบที่ 2 การประเมินความเสี่ยง,2.1 มีการประเมินความเสี่ยงด้านสุขภาพของบุคลากร,รพ.ศูนย์/รพ.ทั่วไป/รพ.ชุมชน/รพ.สต.
